diseaseId,diseaseName,did
C0002985,Angiokeratoma,481
C0206632,Angiolipoma,482
C0334608,Angiomatous Meningioma,483
C0017605,Angle Closure Glaucoma,484
C0178417,Anhedonia,485
C1862871,"ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS",486
C0730379,Anhydramnios,487
C1706004,Anhydrotic Ectodermal Dysplasias,488
C0003076,Aniridia,489
C4310695,ANIRIDIA 3,490
C0344543,Aniridia type 2,491
C0038013,Ankylosing spondylitis,492
C0265998,ANONYCHIA,493
C1832661,ANOPHTHALMIA AND PULMONARY HYPOPLASIA,494
C0003119,Anophthalmos,495
C0266215,Anorectal atresia,496
C0003123,Anorexia,497
C0752306,"Anoxia-Ischemia, Brain",498
C0752307,"Anoxia-Ischemia, Cerebral",499
C0752305,Anoxic-Ischemic Encephalopathy,500
C0154681,Anterior Horn Cell Disease,501
C3551443,ANTERIOR SEGMENT ANOMALIES WITH OR WITHOUT CATARACT,502
C4551992,ANTERIOR SEGMENT DYSGENESIS 1,503
C3151617,ANTERIOR SEGMENT DYSGENESIS 7,504
C4310622,ANTERIOR SEGMENT DYSGENESIS 8,505
C1862839,Anterior segment mesenchymal dysgenesis,506
C0003165,Anthracosis,507
C0003175,Anthrax disease,508
C3489734,"Anti-plasmin deficiency, congenital",509
C0003257,Antibody Deficiency Syndrome,510
C0085278,Antiphospholipid Syndrome,511
C0272375,Antithrombin III Deficiency,512
C2350233,Antley-Bixler Syndrome Phenotype,513
C1860042,Antley-Bixler Syndrome with Disordered Steroidogenesis,514
C3150099,ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS,515
C2936791,"Antley-Bixler Syndrome, Autosomal Dominant",516
C0003466,"Anus, Imperforate",517
C1279420,Anxiety neurosis (finding),518
C0376280,"Anxiety States, Neurotic",519
C0003486,Aortic Aneurysm,520
C0162871,"Aortic Aneurysm, Abdominal",521
C1851504,"Aortic aneurysm, familial thoracic 4",522
