geneID,Gene_name,gid
2791,GNG11,1153
259286,TAS2R40,1154
2783,GNB2,1155
6754,SSTR4,1156
152,ADRA2C,1157
2913,GRM3,1158
2831,NPBWR1,1159
6366,CCL21,1160
129521,NMS,1161
23566,LPAR3,1162
2829,XCR1,1163
5540,NPY4R,1164
8862,APLN,1165
10316,NMUR1,1166
6750,SST,1167
10022,INSL5,1168
3577,CXCR1,1169
4852,NPY,1170
51083,GAL,1171
4544,MTNR1B,1172
2788,GNG7,1173
6372,CXCL6,1174
643,CXCR5,1175
3355,HTR1F,1176
729230,CCR2,1177
6370,CCL25,1178
8843,HCAR3,1179
259296,TAS2R50,1180
5443,POMC,1181
51289,RXFP3,1182
50832,TAS2R4,1183
338442,HCAR2,1184
3458,IFNG,1185
2916,GRM6,1186
6346,CCL1,1187
6288,SAA1,1188
114,ADCY8,1189
3565,IL4,1190
4543,MTNR1A,1191
2784,GNB3,1192
115,ADCY9,1193
8811,GALR2,1194
10681,GNB5,1195
259285,TAS2R39,1196
2358,FPR2,1197
5697,PYY,1198
3352,HTR1D,1199
2841,GPR18,1200
109,ADCY3,1201
8698,S1PR4,1202
1234,CCR5,1203
259290,TAS2R31,1204
10803,CCR9,1205
6354,CCL7,1206
6360,CCL16,1207
50831,TAS2R3,1208
10850,CCL27,1209
2920,CXCL2,1210
3383,ICAM1,1211
53637,S1PR5,1212
55970,GNG12,1213
9934,P2RY14,1214
2847,MCHR1,1215
6357,CCL13,1216
10563,CXCL13,1217
11251,PTGDR2,1218
50834,TAS2R1,1219
3627,CXCL10,1220
1902,LPAR1,1221
5473,PPBP,1222
2773,GNAI3,1223
6751,SSTR1,1224
2826,CCR10,1225
2833,CXCR3,1226
5733,PTGER3,1227
2793,GNGT2,1228
29899,GPSM2,1229
53829,P2RY13,1230
54429,TAS2R5,1231
6753,SSTR3,1232
27199,OXGR1,1233
196883,ADCY4,1234
94235,GNG8,1235
50837,TAS2R7,1236
1232,CCR3,1237
134,ADORA1,1238
623,BDKRB1,1239
346562,GNAT3,1240
728,C5AR1,1241
2550,GABBR1,1242
2914,GRM4,1243
59340,HRH4,1244
5367,PMCH,1245
151,ADRA2B,1246
2852,GPER1,1247
84539,MCHR2,1248
11255,HRH3,1249
6374,CXCL5,1250
1524,CX3CR1,1251
111,ADCY5,1252
846,CASR,1253
