GeneID,id
10297,998
9978,999
85409,1000
1452,1001
5347,1002
7976,1003
50855,1004
4007,1005
5515,1006
81029,1007
51339,1008
8325,1009
2535,1010
22881,1011
1460,1012
5216,1013
283106,1014
5527,1015
8323,1016
5518,1017
4853,1018
55361,1019
1857,1020
85407,1021
5526,1022
1453,1023
4854,1024
23401,1025
64750,1026
89780,1027
79657,1028
5499,1029
5439,1030
11321,1031
140460,1032
5434,1033
9675,1034
8725,1035
9440,1036
26015,1037
10856,1038
8409,1039
79871,1040
65123,1041
5202,1042
8607,1043
5501,1044
9685,1045
10471,1046
51575,1047
55011,1048
81572,1049
9326,1050
9894,1051
8935,1052
140885,1053
961,1054
2534,1055
10942,1056
50863,1057
8875,1058
4978,1059
152330,1060
338328,1061
2813,1062
1368,1063
248,1064
420,1065
147719,1066
4062,1067
123904,1068
130576,1069
8876,1070
146760,1071
83639,1072
8434,1073
4061,1074
154064,1075
646627,1076
8000,1077
135228,1078
80328,1079
257194,1080
349633,1081
58530,1082
6975,1083
2350,1084
7070,1085
503542,1086
1087,1087
116372,1088
146183,1089
2215,1090
1048,1091
5067,1092
53942,1093
2822,1094
54742,1095
55350,1096
23627,1097
137797,1098
266727,1099
683,1100
161357,1101
419,1102
249,1103
1043,1104
7512,1105
51299,1106
4045,1107
80740,1108
349667,1109
284348,1110
171169,1111
84628,1112
7007,1113
22854,1114
353091,1115
8581,1116
27076,1117
3207,1118
4211,1119
6376,1120
59345,1121
353164,1122
2787,1123
259294,1124
4988,1125
4889,1126
719,1127
150,1128
1233,1129
2853,1130
5173,1131
3350,1132
2771,1133
6755,1134
7124,1135
56923,1136
1815,1137
2921,1138
165140,1139
50839,1140
4886,1141
4986,1142
6352,1143
259293,1144
6752,1145
1132,1146
57007,1147
1230,1148
339403,1149
6373,1150
63940,1151
2791,1152
259286,1153
2783,1154
6754,1155
152,1156
2913,1157
2831,1158
6366,1159
129521,1160
23566,1161
2829,1162
5540,1163
8862,1164
10316,1165
6750,1166
10022,1167
3577,1168
4852,1169
51083,1170
4544,1171
2788,1172
6372,1173
643,1174
3355,1175
729230,1176
6370,1177
8843,1178
259296,1179
5443,1180
51289,1181
50832,1182
338442,1183
3458,1184
2916,1185
6346,1186
6288,1187
114,1188
3565,1189
4543,1190
2784,1191
115,1192
8811,1193
10681,1194
259285,1195
2358,1196
5697,1197
3352,1198
2841,1199
109,1200
8698,1201
1234,1202
259290,1203
10803,1204
6354,1205
6360,1206
50831,1207
10850,1208
2920,1209
3383,1210
53637,1211
55970,1212
9934,1213
2847,1214
6357,1215
10563,1216
11251,1217
50834,1218
3627,1219
1902,1220
5473,1221
2773,1222
6751,1223
2826,1224
2833,1225
5733,1226
2793,1227
29899,1228
53829,1229
54429,1230
6753,1231
27199,1232
196883,1233
94235,1234
50837,1235
1232,1236
134,1237
623,1238
346562,1239
728,1240
2550,1241
2914,1242
59340,1243
5367,1244
151,1245
2852,1246
84539,1247
11255,1248
6374,1249
1524,1250
111,1251
846,1252
187,1253
2832,1254
8484,1255
51764,1256
6363,1257
107,1258
5368,1259
2918,1260
3579,1261
80834,1262
259295,1263
2919,1264
727,1265
627,1266
9294,1267
2786,1268
50838,1269
2840,1270
3351,1271
57121,1272
56670,1273
1901,1274
1269,1275
50835,1276
54331,1277
6347,1278
2917,1279
624,1280
1813,1281
9568,1282
256933,1283
1237,1284
83756,1285
9283,1286
5030,1287
5539,1288
112,1289
126006,1290
80835,1291
9170,1292
50865,1293
50833,1294
259287,1295
5726,1296
50836,1297
2587,1298
10874,1299
4987,1300
140,1301
113,1302
26086,1303
27198,1304
4283,1305
2357,1306
1814,1307
2861,1308
7852,1309
9290,1310
58191,1311
3361,1312
6364,1313
1236,1314
64805,1315
259289,1316
2790,1317
50840,1318
1880,1319
283869,1320
56477,1321
4887,1322
117579,1323
4985,1324
10663,1325
3354,1326
5196,1327
5660,1328
108,1329
1903,1330
2770,1331
2359,1332
259292,1333
186,1334
1268,1335
1325,1336
338398,1337
2785,1338
301,1339
2912,1340
79090,1341
2801,1342
10960,1343
6396,1344
11196,1345
2157,1346
79748,1347
9871,1348
26984,1349
7039,1350
3998,1351
6399,1352
80006,1353
89866,1354
64689,1355
284353,1356
6811,1357
374,1358
1122,1359
9570,1360
9919,1361
7109,1362
81562,1363
51741,1364
2664,1365
9117,1366
51399,1367
22872,1368
100128327,1369
10802,1370
10175,1371
60684,1372
122553,1373
22878,1374
90411,1375
10427,1376
23256,1377
51693,1378
51112,1379
10342,1380
126003,1381
51128,1382
27095,1383
55014,1384
9632,1385
1294,1386
10484,1387
83696,1388
1121,1389
84058,1390
127700,1391
64839,1392
23140,1393
57414,1394
84236,1395
64285,1396
115939,1397
26608,1398
90121,1399
55720,1400
84946,1401
28987,1402
26873,1403
114881,1404
9755,1405
55163,1406
79170,1407
9218,1408
51087,1409
344018,1410
431707,1411
402381,1412
3675,1413
3684,1414
55742,1415
3683,1416
5328,1417
3909,1418
3678,1419
3687,1420
8516,1421
3676,1422
1398,1423
3910,1424
1288,1425
1287,1426
9564,1427
3908,1428
977,1429
3685,1430
5877,1431
7436,1432
3688,1433
284217,1434
940,1435
