geneID,Gene_name,gid
9091,PIGQ,878
161,AP2A2,879
4853,NOTCH2,880
26959,HBP1,881
7052,TGM2,882
288,ANK3,883
1601,DAB2,884
55223,TRIM62,885
5915,RARB,886
51386,EIF3L,887
56956,LHX9,888
10393,ANAPC10,889
8065,CUL5,890
7592,ZNF41,891
51366,UBR5,892
9516,LITAF,893
79640,C22orf46P,894
26286,ARFGAP3,895
8881,CDC16,896
5494,PPM1A,897
10226,PLIN3,898
2969,GTF2I,899
10956,OS9,900
29882,ANAPC2,901
6935,ZEB1,902
996,CDC27,903
9972,NUP153,904
5824,PEX19,905
7249,TSC2,906
23054,NCOA6,907
23216,TBC1D1,908
10914,PAPOLA,909
1154,CISH,910
5599,MAPK8,911
6717,SRI,912
3656,IRAK2,913
1874,E2F4,914
5601,MAPK9,915
4005,LMO2,916
3643,INSR,917
7161,TP73,918
1019,CDK4,919
51362,CDC40,920
6767,ST13,921
6208,RPS14,922
4802,NFYC,923
10771,ZMYND11,924
51586,MED15,925
162,AP1B1,926
23557,SNAPIN,927
57459,GATAD2B,928
54680,ZNHIT6,929
2201,FBN2,930
9146,HGS,931
1778,DYNC1H1,932
22938,SNW1,933
6093,ROCK1,934
56850,GRIPAP1,935
55827,DCAF6,936
7050,TGIF1,937
22823,MTF2,938
6736,SRY,939
5916,RARG,940
9863,MAGI2,941
56478,EIF4ENIF1,942
7465,WEE1,943
8454,CUL1,944
5657,PRTN3,945
675,BRCA2,946
4194,MDM4,947
11108,PRDM4,948
57338,JPH3,949
7431,VIM,950
864,RUNX3,951
9978,RBX1,952
5325,PLAGL1,953
4904,YBX1,954
7421,VDR,955
2035,EPB41,956
79595,SAP130,957
1655,DDX5,958
2353,FOS,959
993,CDC25A,960
9569,GTF2IRD1,961
4645,MYO5B,962
7849,PAX8,963
2034,EPAS1,964
55146,ZDHHC4,965
5190,PEX6,966
3096,HIVEP1,967
3858,KRT10,968
6175,RPLP0,969
3849,KRT2,970
11018,TMED1,971
2122,MECOM,972
7170,TPM3,973
8091,HMGA2,974
1017,CDK2,975
10148,EBI3,976
10992,SF3B2,977
5047,PAEP,978
8313,AXIN2,979
5324,PLAG1,980
79673,ZNF329,981
4000,LMNA,982
10610,ST6GALNAC2,983
1875,E2F5,984
1443,CSH2,985
5097,PCDH1,986
4851,NOTCH1,987
10428,CFDP1,988
60436,TGIF2,989
467,ATF3,990
80198,MUS81,991
146956,EME1,992
11200,CHEK2,993
11141,IL1RAPL1,994
23413,NCS1,995
3482,IGF2R,996
3481,IGF2,997
8804,CREG1,998
