GeneID1,GeneID2,weight
1915,5047,1.0
1915,1164,1.0
1915,7178,1.0
1915,23095,1.0
1915,721,1.0
1915,6453,1.0
1915,7159,1.0
1915,54819,1.0
1915,6462,1.0
1915,8655,1.0
1915,6176,1.0
1915,3910,1.0
1915,5272,1.0
1915,5050,1.0
1915,355,1.0
1915,6880,1.0
1915,22803,1.0
1915,2810,1.0
1915,5217,1.0
1915,5427,1.0
1915,54544,1.0
1915,7276,1.0
1915,54512,1.0
1915,10425,1.0
1915,11075,1.0
1915,5775,1.0
1915,7258,1.0
1915,25855,1.0
1915,1787,1.0
1915,10912,1.0
1915,5985,1.0
1915,10084,1.0
1915,4758,1.0
1915,7572,1.0
1915,4331,1.0
1915,28977,1.0
1915,3336,1.0
1915,54938,1.0
1915,4300,1.0
1915,56144,1.0
1915,10916,1.0
1915,5432,1.0
1915,6002,1.0
1915,8738,1.0
1915,5790,1.0
1915,5873,1.0
1915,10301,1.0
1915,6362,1.0
1915,81576,1.0
1915,9796,1.0
1915,6783,1.0
1915,51319,1.0
1915,9587,1.0
1915,25841,1.0
1915,64061,1.0
1915,10063,1.0
1915,9061,1.0
1915,6745,1.0
1915,1466,1.0
1915,94103,1.0
1915,54949,1.0
1915,64699,1.0
7088,9921,1.0
7088,4487,1.0
7088,6118,1.0
7088,6303,1.0
7088,1822,1.0
7088,7403,1.0
7088,5717,1.0
7088,51176,1.0
7088,2290,1.0
7088,379,1.0
7088,55643,1.0
7088,864,1.0
7088,55734,1.0
7088,3146,1.0
7088,4990,1.0
7088,6495,1.0
7088,10736,1.0
7088,6496,1.0
7088,983,1.0
7088,8894,1.0
7088,3280,1.0
7088,6927,1.0
7088,5272,1.0
7088,5050,1.0
7088,3572,1.0
7088,3170,1.0
7088,3117,1.0
7088,9802,1.0
7088,5427,1.0
7088,54544,1.0
7088,8880,1.0
7088,5216,1.0
7088,6637,1.0
7088,5423,1.0
7088,7404,1.0
7088,7089,1.0
7088,9643,1.0
7088,3087,1.0
7088,861,1.0
7088,7083,1.0
7088,10200,1.0
7088,3336,1.0
7088,56144,1.0
7088,639,1.0
7088,5828,1.0
7088,53826,1.0
7088,2079,1.0
7088,10301,1.0
7088,1031,1.0
7088,6362,1.0
7088,2948,1.0
7088,403,1.0
7088,55502,1.0
10813,9921,1.0
