diseaseID,id
C0152013,182
C0007112,183
C0205641,184
C4016849,185
C1569637,186
C0205642,187
C0205645,188
C0010606,189
C0205646,190
C0205648,191
C0205649,192
C0205651,193
C0032580,194
C0206677,195
C2931781,196
C1863224,197
C2675459,198
C0268126,199
C4721811,200
C4721814,201
C4721813,202
C4721812,203
C3542500,204
C0752288,205
C4014538,206
C0750887,207
C0206667,208
C4551683,209
C2931782,210
C0268285,211
C3502132,212
C3151055,213
C0206686,214
C0342388,215
C0162309,216
C0282525,217
C1527231,218
C0751606,219
C1332201,220
C0341703,221
C0751172,222
C0279607,223
C0220597,224
C0268413,225
C0268374,226
C0278876,227
C0751716,228
C0022797,229
C0279070,230
C3164344,231
C0751914,232
C3887650,233
C0751489,234
C0023493,235
C0221056,236
C1332218,237
C1863844,238
C0752197,239
C0752198,240
C0752199,241
C1842914,242
C0751758,243
C3808874,244
C1858496,245
C0001733,246
C0343640,247
C0001768,248
C3152144,249
C3150750,250
C3150751,251
C3150752,252
C3150753,253
C3150207,254
C1832241,255
C1845903,256
C0085758,257
C1257840,258
C0242383,259
C2880562,260
C0175754,261
C0031106,262
C0001824,263
C1879312,264
C4014419,265
C1837530,266
C0393591,267
C0796126,268
C3150315,269
C3489724,270
C1835916,271
C1835912,272
C2749659,273
C3539013,274
C0001890,275
C0751207,276
C1848651,277
C4540156,278
C4085595,279
C3809738,280
C4310702,281
C4551971,282
C0001916,283
C2931875,284
C0078917,285
C0078918,286
C0342683,287
C3888401,288
C3805375,289
C3808786,290
C0085762,291
C0237123,292
C3146244,293
C0814154,294
C1879677,295
C0001956,296
C0001957,297
C0586323,298
C0236663,299
C0751865,300
C0001969,301
C0001973,302
C0002018,303
C0002066,304
C4693347,305
C0795889,306
C2607914,307
C0002152,308
C0431363,309
C0002170,310
C0002171,311
C0263505,312
C1859877,313
C4083212,314
C2677535,315
C1859878,316
C0205710,317
C1260396,318
C0268187,319
C3279661,320
C2752081,321
C1527317,322
C1837317,323
C2936406,324
C2752074,325
C0024748,326
C3280428,327
C2936332,328
C0002312,329
C0795917,330
C0475813,331
C1835931,332
C1567741,333
C4746986,334
C4746745,335
C4746547,336
C1567743,337
C1567744,338
C2931253,339
C1846242,340
C2931254,341
C1567742,342
C0268425,343
C0338488,344
C3549447,345
C3553788,346
C0002382,347
C2677362,348
C0034219,349
C0206655,350
C0206657,351
C4721507,352
C1847200,353
C1837149,354
C0750901,355
C0494463,356
C1838990,357
C0002395,358
C0750900,359
C0376288,360
C2931258,361
C1857588,362
C0282220,363
C0266362,364
C0002452,365
C0399372,366
C0399367,367
C2931783,368
C1290537,369
C0399373,370
C2673922,371
C2675858,372
C2750771,373
C3553830,374
C4014578,375
C4310665,376
C1845053,377
C1845052,378
C4011403,379
C0399368,380
C2673923,381
C4225394,382
C4015557,383
C0399376,384
C4539891,385
C4310630,386
C1863012,387
C1527310,388
C0750905,389
C1835922,390
C3542499,391
C3495483,392
C1836824,393
C0002622,394
C0236807,395
C0236804,396
C4551986,397
C0393679,398
C2936915,399
C0002726,400
C4554601,401
C0740340,402
C0268389,403
C0268397,404
C4551501,405
C3151404,406
C4554421,407
C0002736,408
C1862939,409
C2675491,410
C3150692,411
C3275459,412
C3280587,413
C3553719,414
C1859807,415
C3715156,416
C3807521,417
C4015512,418
C4693381,419
C1865409,420
C1865864,421
C1837728,422
C2678468,423
C0393554,424
C1836076,425
C4551993,426
C0543859,427
C1862941,428
C1834304,429
C1865384,430
C0334579,431
C0205696,432
C0280788,433
C0334590,434
C1846796,435
C4551965,436
C4479357,437
C1563715,438
C3715192,439
C0162311,440
C0002871,441
C3810185,442
C1260899,443
C1857719,444
C0002878,445
C0002879,446
C0002881,447
C0002882,448
C0002883,449
C0221409,450
C2673913,451
C3806153,452
C3808920,453
C0002886,454
C0002888,455
C0002889,456
C0002891,457
C2720289,458
C0002895,459
C4225425,460
C4225155,461
C4225428,462
C1845028,463
C2673914,464
C0002902,465
C0751000,466
C0740386,467
C0751001,468
C1862932,469
C0740385,470
C0740387,471
C0751002,472
C1739384,473
C0162635,474
C0002965,475
C1527197,476
C2363903,477
C0019243,478
C0020981,479
C0002985,480
C0206632,481
C0334608,482
C0017605,483
C0178417,484
C1862871,485
C0730379,486
C1706004,487
C0003076,488
C4310695,489
C0344543,490
C0038013,491
C0265998,492
C1832661,493
C0003119,494
C0266215,495
C0003123,496
C0752306,497
C0752307,498
C0752305,499
C0154681,500
C3551443,501
C4551992,502
C3151617,503
C4310622,504
C1862839,505
C0003165,506
C0003175,507
C3489734,508
C0003257,509
C0085278,510
C0272375,511
C2350233,512
C1860042,513
C3150099,514
C2936791,515
C0003466,516
C1279420,517
C0376280,518
C0003486,519
C0162871,520
C1851504,521
