diseaseID,GeneID,score
C0002395,164312,-0.26127774
C0002395,66008,0.7699914
C0002395,481,0.74184835
C0002395,482,0.9431389
C0002395,486,0.6985923
C0002395,487,1.144007
C0002395,488,1.6518447
C0002395,489,0.6883406
C0002395,490,0.3274039
C0002395,491,0.21183012
C0002395,493,-0.8979129
C0002395,496,0.11583633
C0002395,66036,-1.0472293
C0002395,66037,0.047296807
C0002395,501,0.40365666
C0002395,523,0.63196456
C0002395,197131,0.14663577
C0002395,525,0.12862349
C0002395,527,-0.6434442
C0002395,529,0.09302635
C0002395,534,-0.13524158
C0002395,537,0.6607977
C0002395,538,-0.23080301
C0002395,540,1.1502235
C0002395,545,-0.76700246
C0002395,546,-0.18554237
C0002395,547,1.1571481
C0002395,550,-0.07558797
C0002395,551,-0.27609843
C0002395,552,1.0171198
C0002395,553,1.0900468
C0002395,554,1.0995872
C0002395,558,-1.8235289
C0002395,563,0.8974533
C0002395,566,-0.16221932
C0002395,567,-0.19359177
C0002395,570,-0.082663134
C0002395,571,-0.31648558
C0002395,572,1.0019441
C0002395,573,1.1602433
C0002395,578,0.67021394
C0002395,580,0.6566199
C0002395,581,-1.1618233
C0002395,583,0.5826882
C0002395,585,0.40898988
C0002395,586,0.4959979
C0002395,590,-0.70884657
C0002395,593,0.14498824
C0002395,594,0.46725297
C0002395,595,-0.26109624
C0002395,596,-0.68361866
C0002395,597,0.43020728
C0002395,598,-0.12222965
C0002395,599,-0.90158993
C0002395,602,0.0019960692
C0002395,604,-0.092721134
C0002395,605,-0.18221903
C0002395,607,1.070972
C0002395,608,-0.76669407
C0002395,610,-0.04952913
C0002395,613,-0.29789704
C0002395,617,0.7750223
C0002395,623,0.8908918
C0002395,624,1.1845764
C0002395,627,-0.76015407
C0002395,629,0.821794
C0002395,631,0.1647779
C0002395,632,0.024493687
C0002395,633,0.13946335
C0002395,634,0.8298367
C0002395,636,-0.1400523
C0002395,637,0.26093864
C0002395,638,0.039771136
C0002395,639,0.7651905
C0002395,640,0.79013836
C0002395,641,0.9481852
C0002395,642,-0.44459614
C0002395,643,0.4124419
C0002395,645,0.68642914
C0002395,648,-0.1872417
C0002395,649,0.6582032
C0002395,650,-1.2014469
C0002395,651,-0.26272133
C0002395,652,-0.19557889
C0002395,653,0.07671213
C0002395,654,0.58963525
C0002395,655,-0.075134516
C0002395,656,0.1825737
C0002395,657,0.79347855
C0002395,658,1.2249839
C0002395,659,1.0907792
C0002395,660,-0.15253314
C0002395,661,-0.013829524
C0002395,662,-1.1615183
C0002395,663,-0.16414161
C0002395,664,0.4199292
C0002395,665,-0.5921606
C0002395,666,-0.108210176
C0002395,667,0.26361653
C0002395,668,0.59621286
C0002395,669,0.008366365
C0002395,671,-0.13117087
C0002395,672,-1.0004435
C0002395,673,-1.0250221
C0002395,675,-1.1145687
C0002395,677,-0.18885867
C0002395,682,-0.70089644
C0002395,683,0.74217606
C0002395,685,0.579849
C0002395,687,0.43312097
C0002395,688,0.9508498
C0002395,689,-0.8100133
C0002395,694,0.77098846
C0002395,695,-0.27096927
C0002395,696,-0.6057255
C0002395,699,0.5261247
C0002395,701,0.6475599
C0002395,705,-1.0572947
C0002395,706,-0.12907818
C0002395,708,0.33541772
C0002395,710,0.8350351
C0002395,712,1.0899855
C0002395,713,1.1659504
C0002395,714,0.3056422
C0002395,715,0.67995775
C0002395,716,0.6859107
C0002395,717,0.93207073
C0002395,718,-0.017393483
C0002395,719,-0.93673444
C0002395,720,0.5699422
C0002395,721,0.87301886
C0002395,722,1.1040013
C0002395,725,-0.14421976
C0002395,727,0.90152717
C0002395,728,-0.21762402
C0002395,729,0.44506502
C0002395,730,0.6771755
C0002395,731,0.43727586
C0002395,732,0.6627653
C0002395,733,0.123597644
C0002395,735,1.0153656
C0002395,164592,-1.4345237
C0002395,752,0.6096218
C0002395,754,-0.20452838
C0002395,760,0.5424581
C0002395,762,0.23854825
C0002395,765,-0.11214994
C0002395,767,0.15964195
C0002395,768,-0.2211932
C0002395,771,0.5697976
C0002395,773,-0.6402248
C0002395,774,0.8743672
C0002395,775,1.9168992
C0002395,776,0.5129689
C0002395,777,0.43498534
C0002395,778,0.49590573
C0002395,779,0.35278463
C0002395,780,0.14737435
C0002395,782,0.2749833
C0002395,783,0.8088579
C0002395,784,0.122708365
C0002395,785,0.94444793
C0002395,790,0.032526158
